Cereal Name,Manufacturer,Type,Calories,Protein (g),Fat,Sodium,Dietary Fiber,Carbs,Sugars,Display Shelf,Potassium,Vitamins and Minerals,Serving Size Weight,Cups per Serving
100%_Bran,Nabisco,C,70,4,1,130,10,5,6,3,280,25,1,0.33
100%_Natural_Bran,Quaker Oats,C,120,3,5,15,2,8,8,3,135,0,1,-1
All-Bran,Kelloggs,C,70,4,1,260,9,7,5,3,320,25,1,0.33
All-Bran_with_Extra_Fiber,Kelloggs,C,50,4,0,140,14,8,0,3,330,25,1,0.5
Almond_Delight,Ralston Purina,C,110,2,2,200,1,14,8,3,-1,25,1,0.75
Apple_Cinnamon_Cheerios,General Mills,C,110,2,2,180,1.5,10.5,10,1,70,25,1,0.75
Apple_Jacks,Kelloggs,C,110,2,0,125,1,11,14,2,30,25,1,1
Basic_4,General Mills,C,130,3,2,210,2,18,8,3,100,25,1.33,0.75
Bran_Chex,Ralston Purina,C,90,2,1,200,4,15,6,1,125,25,1,0.67
Bran_Flakes,Post,C,90,3,0,210,5,13,5,3,190,25,1,0.67
Cap'n'Crunch,Quaker Oats,C,120,1,2,220,0,12,12,2,35,25,1,0.75
Cheerios,General Mills,C,110,6,2,290,2,17,1,1,105,25,1,1.25
Cinnamon_Toast_Crunch,General Mills,C,120,1,3,210,0,13,9,2,45,25,1,0.75
Clusters,General Mills,C,110,3,2,140,2,13,7,3,105,25,1,0.5
Cocoa_Puffs,General Mills,C,110,1,1,180,0,12,13,2,55,25,1,1
Corn_Chex,Ralston Purina,C,110,2,0,280,0,22,3,1,25,25,1,1
Corn_Flakes,Kelloggs,C,100,2,0,290,1,21,2,1,35,25,1,1
Corn_Pops,Kelloggs,C,110,1,0,90,1,13,12,2,20,25,1,1
Count_Chocula,General Mills,C,110,1,1,180,0,12,13,2,65,25,1,1